from_vertex_id;to_vertex_id;one_way;weight;geom;was_one_way
20999;24443;FT;0.013096;LINESTRING(37.696251 55.735842,37.696283 55.735839,37.696457 55.735819);false
15954;15956;FT;0.036269;LINESTRING(37.657972 55.769664,37.658234 55.769669,37.658552 55.769677);false
20865;23419;FT;0.021361;LINESTRING(37.679465 55.768764,37.679431 55.768918,37.679423 55.768955);false
5468;5466;FT;0.011207;LINESTRING(37.592667 55.750260,37.592710 55.750201,37.592737 55.750167);false
1823;1821;FT;0.005307;LINESTRING(37.590723 55.744952,37.590735 55.744951,37.590807 55.744946);false
17563;17564;FT;0.072342;LINESTRING(37.573697 55.770570,37.574500 55.770483,37.574832 55.770447);true
19215;19213;FT;0.027684;LINESTRING(37.649528 55.742889,37.649589 55.742810,37.649702 55.742660);false
8550;8551;FT;0.095273;LINESTRING(37.670439 55.746600,37.670658 55.746616,37.671949 55.746712);true
2589;17003;FT;0.010333;LINESTRING(37.609872 55.746470,37.609842 55.746483,37.609772 55.746422);true
2589;17011;FT;0.004894;LINESTRING(37.609872 55.746470,37.609842 55.746483,37.609809 55.746497);true
19735;19737;FT;0.019700;LINESTRING(37.648353 55.744318,37.648322 55.744336,37.648108 55.744429);false
23474;23475;FT;0.002755;LINESTRING(37.623542 55.766885,37.623535 55.766872,37.623529 55.766862);true
11001;11002;FT;0.024007;LINESTRING(37.595978 55.761495,37.596037 55.761413,37.596120 55.761295);true
3785;3786;FT;0.005459;LINESTRING(37.636163 55.743055,37.636206 55.743064,37.636245 55.743073);true
10333;20642;FT;0.011526;LINESTRING(37.582317 55.746844,37.582319 55.746792,37.582328 55.746740);true
10333;22390;FT;0.015908;LINESTRING(37.582317 55.746844,37.582319 55.746792,37.582227 55.746717);true
14999;15000;FT;0.056951;LINESTRING(37.669191 55.731940,37.669059 55.731967,37.668350 55.732134);true
12291;12292;FT;0.030276;LINESTRING(37.628519 55.742001,37.628504 55.742108,37.628481 55.742272);true
60;22019;FT;0.029486;LINESTRING(37.614658 55.748234,37.614366 55.748159,37.614229 55.748124);true
16310;16312;FT;0.012929;LINESTRING(37.673774 55.739169,37.673757 55.739193,37.673703 55.739278);false
12563;12565;FT;0.011863;LINESTRING(37.678656 55.759348,37.678658 55.759411,37.678664 55.759454);false
12764;12766;FT;0.026004;LINESTRING(37.640504 55.740599,37.640430 55.740730,37.640378 55.740822);false
106;149;FT;0.014075;LINESTRING(37.595835 55.772053,37.595752 55.772101,37.595676 55.772059);true
106;107;FT;0.013080;LINESTRING(37.595835 55.772053,37.595752 55.772101,37.595689 55.772137);true
5662;5660;FT;0.019816;LINESTRING(37.655394 55.772041,37.655167 55.772023,37.655080 55.772016);false
